goalkeeper,penalties_faced,total_expected_goals,actual_goals_conceded,gpaa
Iker Casillas Fernández,2,1.0645218740021571,1,0.06452187400215714
Jordi Masip López,2,1.0533347738271637,1,0.05333477382716367
Vid Belec,2,1.0490192339988709,1,0.04901923399887087
Alban Lafont,1,0.04453320145607987,0,0.04453320145607987
Yoel Rodríguez Oterino,3,2.0420848927916255,2,0.04208489279162553
Jasper Cillessen,1,0.04057113237308391,0,0.04057113237308391
Albano Benjamín Bizzarri,3,1.0307313686387682,1,0.03073136863876824
Jaroslav Drobný,1,0.026647673939044724,0,0.026647673939044724
Emiliano Viviano,5,2.0258945070100665,2,0.02589450701006646
Jonas Omlin,2,1.0202251805472102,1,0.02022518054721023
Koen Casteels,1,0.020065867851957922,0,0.020065867851957922
Jaume Doménech Sánchez,2,0.019876555028904546,0,0.019876555028904546
Karl Darlow,1,0.016433578564547816,0,0.016433578564547816
Ricardo Alexandre Martins Soares Pereira,1,0.016368048001054618,0,0.016368048001054618
Yassine Bounou,1,0.016368048001054618,0,0.016368048001054618
Gabriel Vasconelos Ferreira,1,0.015194558573805982,0,0.015194558573805982
Ørjan Håskjold Nyland,1,0.013298108783760454,0,0.013298108783760454
Hannes Þór Halldórsson,1,0.008894973947819166,0,0.008894973947819166
Andrés Palop Cervera,2,1.0064754119305022,1,0.006475411930502162
Etrit Berisha,2,1.0062872883607956,1,0.006287288360795618
Mohammad Nawaz,3,1.996123919476811,2,-0.003876080523188996
Timo Hildebrand,1,0.9953238670762975,1,-0.004676132923702503
Asier Riesgo Unamuno,4,1.9921298461046877,2,-0.007870153895312315
Rodrigo Mario Morínigo Acosta,1,0.9889086649803067,1,-0.011091335019693283
Vishal Kaith,1,0.9885345247770425,1,-0.011465475222957489
Diego Orlando Benaglio,1,0.9884191292507241,1,-0.01158087074927594
Axel Werner,1,0.9868939847513298,1,-0.013106015248670166
Casto Espinosa Barriga,1,0.9844657263090906,1,-0.015534273690909428
Eike Immel,1,0.9834421147261417,1,-0.016557885273858264
Franco Armani,1,0.9829379779419057,1,-0.01706202205809426
Lloyd Junior Kazapua,1,0.9822514234049993,1,-0.01774857659500073
Miguel Ángel Moyà Rumbo,1,0.9819438892976281,1,-0.018056110702371897
Giedrius Arlauskis,1,0.9794464153897683,1,-0.020553584610231712
Mario Fernández Cuesta,1,0.9781751851896809,1,-0.02182481481031906
António Alberto Bastos Pimparel,1,0.9758802995099861,1,-0.024119700490013884
Péter Gulácsi,1,0.9758802995099861,1,-0.024119700490013884
Alejandro Remiro Gargallo,1,0.9755562206937559,1,-0.024443779306244084
David Soria Solís,1,0.9746100153544289,1,-0.025389984645571073
Stole Dimitrievski,1,0.974057115878358,1,-0.02594288412164203
Ralf Fährmann,1,0.9735982072743024,1,-0.026401792725697648
Seung-Gyu Kim,1,0.9728026424710167,1,-0.027197357528983335
Mark Schwarzer,1,0.9728026424710167,1,-0.027197357528983335
